año,mes,energia_gwh,potencia_mw,time_idx,mes_pasado,este,norte,sur
2018,7,221.487437,58.975522,79,231.670966,1,0,0
2018,8,230.492727,63.466312,80,221.487437,1,0,0
2018,9,215.976629,58.67540799999999,81,230.492727,1,0,0
2018,10,211.67271399999998,60.506332,82,215.976629,1,0,0
2018,11,215.10861699999998,60.82602000000001,83,211.67271399999998,1,0,0
2018,12,208.372384,59.32670460000001,84,215.10861699999998,1,0,0
2019,1,203.793021,58.493240000000014,85,208.372384,1,0,0
2019,2,196.133087,49.325922,86,203.793021,1,0,0
2019,3,202.081805,58.600671999999996,87,196.133087,1,0,0
2019,4,202.625764,58.209708,88,202.081805,1,0,0
2019,5,218.80828400000001,57.119136000000005,89,202.625764,1,0,0
2019,6,226.291269,57.49255800000001,90,218.80828400000001,1,0,0
2019,7,256.788478,58.21957,91,226.291269,1,0,0
2019,8,232.882594,58.91694600000001,92,256.788478,1,0,0
2019,9,234.801673,59.91471,93,232.882594,1,0,0
2019,10,238.805307,59.07053,94,234.801673,1,0,0
2019,11,230.38207,58.81611,95,238.805307,1,0,0
2019,12,217.819195,59.92266199999999,96,230.38207,1,0,0
2020,1,212.970196,58.685542,97,217.819195,1,0,0
2020,2,203.774873,58.802668000000004,98,212.970196,1,0,0
2020,3,245.625215,60.366234,99,203.774873,1,0,0
2020,4,198.659898,68.13843,100,245.625215,1,0,0
2020,5,203.57721,63.78618200000001,101,198.659898,1,0,0
